link,image,name,pronouns
https://io.google/2022/speakers/luyan-chi/,https://io.google/2022/speakers/9e99b18c-c369-44a1-b154-e4bc1269a461_240.webp,Luyan Chi,she / her
https://io.google/2022/speakers/madeleine-elish/,https://io.google/2022/speakers/31508d69-093a-43ad-bd96-9e9114851a0a_240.webp,Madeleine  Elish,she / her
https://io.google/2022/speakers/madhukar-srivastava/,https://io.google/2022/speakers/16b52857-d04d-475c-b130-59c9cf643264_240.webp,Madhukar Srivastava,
https://io.google/2022/speakers/mai-lowe/,https://io.google/2022/speakers/fd1345d7-bda8-4fec-8ca8-0a8ebd703bb2_240.webp,Mai Lowe,she / her
https://io.google/2022/speakers/manuel-vicente-vivo/,https://io.google/2022/speakers/e98b9713-8589-4a1c-adc3-85888f7f1875_240.webp,Manuel Vicente Vivo,
https://io.google/2022/speakers/marco-cavalli/,https://io.google/2022/speakers/e8f7a31a-c656-443b-860b-bf0932d3a2ad_240.webp,Marco Cavalli,he / him
https://io.google/2022/speakers/mark-thompson/,https://io.google/2022/speakers/350800bb-ada6-498b-9816-993d689f8357_240.webp,Mark Thompson,he / him
https://io.google/2022/speakers/marwa-mabrouk/,https://io.google/2022/speakers/b62779a7-a11e-436d-a65a-6f7605559b52_240.webp,Marwa Mabrouk,she / her
https://io.google/2022/speakers/matt-monasch/,https://io.google/2022/speakers/66c25f45-40ca-471d-836d-0ebcdbd3cb69_240.webp,Matt  Monasch,he / him
https://io.google/2022/speakers/matt-walter/,https://io.google/2022/speakers/7f034752-d8b8-46ca-b8a7-0290df850353_240.webp,Matt Walter,
https://io.google/2022/speakers/matthew-izatt/,https://io.google/2022/speakers/cfc144c0-784b-4437-8c41-5c6b577ba7c8_240.webp,Matthew  Izatt,he / him
https://io.google/2022/speakers/matthias-anlauff/,https://io.google/2022/speakers/4c9b37bf-eeaa-4022-bb99-7347944669f5_240.webp,Matthias Anlauff,he / him
https://io.google/2022/speakers/mete-atamel/,https://io.google/2022/speakers/bc425ff8-8992-4bd5-8e1f-86a4826f57c7_240.webp,Mete Atamel,
https://io.google/2022/speakers/michael-doyle/,https://io.google/2022/speakers/79becbaa-3328-439b-9822-d3fda07329d7_240.webp,Michael Doyle,he / him
https://io.google/2022/speakers/michael-gilbert/,https://io.google/2022/speakers/cd022e2d-8551-4e47-91a4-85b4ce9129bf_240.webp,Michael Gilbert,he / him
https://io.google/2022/speakers/michael-goderbauer/,https://io.google/2022/speakers/f8000f6a-9443-40a2-a8f5-fc9e597a6027_240.webp,Michael Goderbauer,he / him
https://io.google/2022/speakers/michael-thomsen/,https://io.google/2022/speakers/641995ee-530d-4437-a0eb-dbe577e1bc06_240.webp,Michael Thomsen,he / him
https://io.google/2022/speakers/michal-mocny/,https://io.google/2022/speakers/748b297a-dfd7-4388-aead-8ce3b48f4ed9_240.webp,Michal Mocny,he / him
https://io.google/2022/speakers/michele-turner/,https://io.google/2022/speakers/f9bfbb40-a8fe-4003-adc0-49e0f3e7c648_240.webp,Michele Turner,she / her
https://io.google/2022/speakers/miguel-montemayor/,https://io.google/2022/speakers/32ef98d9-a02f-4bd2-9457-5fb423ffd862_240.webp,Miguel Montemayor,he / him
https://io.google/2022/speakers/mihai-popa/,https://io.google/2022/speakers/5c06fde1-6f1f-469b-94b0-dd0c87b0d8ed_240.webp,Mihai Popa,he / him
https://io.google/2022/speakers/mike-knapp/,https://io.google/2022/speakers/3c1fb47e-8538-4906-9300-9b1b281d713c_240.webp,Mike Knapp,he / him
https://io.google/2022/speakers/mike-procopio/,https://io.google/2022/speakers/f5f8eb7b-3251-496f-8b00-5fcfe670b4a7_240.webp,Mike Procopio,he / him
https://io.google/2022/speakers/minko-gechev/,https://io.google/2022/speakers/6e2fb32b-236b-4a00-b1ed-dccc39a0b9f0_240.webp,Minko Gechev,he / him
https://io.google/2022/speakers/nandana-dutt/,https://io.google/2022/speakers/077e7c38-871e-43db-9e86-f1f9bb215813_240.webp,Nandana Dutt,she / her
https://io.google/2022/speakers/neha-malhotra/,https://io.google/2022/speakers/acf3ae04-71a1-493d-8be3-5ed1ed1fba44_240.webp,Neha Malhotra,she / her
https://io.google/2022/speakers/nevin-mital/,https://io.google/2022/speakers/b4a45320-ba97-4f6d-9ad7-093e3e7a959a_240.webp,Nevin Mital,he / him
https://io.google/2022/speakers/nicholas-harthan/,https://io.google/2022/speakers/b81c3c32-bb38-4081-b3e6-199689aeb932_240.webp,Nicholas Harthan,he / him
https://io.google/2022/speakers/nick-bearman/,https://io.google/2022/speakers/5af1c614-92f3-4c0f-8df6-d47a672bba0c_240.webp,Nick Bearman,he / him
https://io.google/2022/speakers/nick-butcher/,https://io.google/2022/speakers/3931c732-e820-4c8b-a1c5-f44a24b5297a_240.webp,Nick Butcher,he / him
https://io.google/2022/speakers/nicole-naurath/,https://io.google/2022/speakers/b4e08d12-41a1-4938-8a0c-4979c937374b_240.webp,Nicole Naurath,she / her
https://io.google/2022/speakers/nikita-namjoshi/,https://io.google/2022/speakers/7b2b3d71-7e1f-41db-9139-7fa309a95fa5_240.webp,Nikita Namjoshi,she / her
https://io.google/2022/speakers/nimer-jaber/,https://io.google/2022/speakers/34562f5c-d670-4aa2-87af-2266593e70f9_240.webp,Nimer Jaber,he / him
https://io.google/2022/speakers/patrick-fuentes/,https://io.google/2022/speakers/c13ba57e-2de9-4f64-9d77-be2d38cd2586_240.webp,Patrick Fuentes,
https://io.google/2022/speakers/paul-lammertsma/,https://io.google/2022/speakers/38119636-192d-4a35-9730-220ade104777_240.webp,Paul Lammertsma,he / him
https://io.google/2022/speakers/petra-cross/,https://io.google/2022/speakers/bbd44e14-ac8d-41de-bdca-5e016b2ba0ce_240.webp,Petra Cross,she / her
https://io.google/2022/speakers/philip-walton/,https://io.google/2022/speakers/9935358d-50bf-4e5a-a9ea-8eb83136bffe_240.webp,Philip Walton,he / him
https://io.google/2022/speakers/pierre-delisle/,https://io.google/2022/speakers/1f90439e-17e2-4ffa-a9d0-701262925c7f_240.webp,Pierre Delisle,he / him
https://io.google/2022/speakers/qazi-mamunur-rashid/,https://io.google/2022/speakers/e353218a-e4f0-4624-a483-4ae09d71d9ad_240.webp,Qazi Mamunur Rashid,he / him
https://io.google/2022/speakers/rachel-andrew/,https://io.google/2022/speakers/49df76e1-abae-4b17-ae25-eeb54015d325_240.webp,Rachel  Andrew,she / her
https://io.google/2022/speakers/rajiv-appana/,https://io.google/2022/speakers/1a0f0ef2-7e49-4b09-9666-dc96bd80c179_240.webp,Rajiv Appana,
https://io.google/2022/speakers/ramesh-nair/,https://io.google/2022/speakers/b4801fef-6865-4695-8369-3d4770c8b070_240.webp,Ramesh Nair,he / him
https://io.google/2022/speakers/rebecca-nathenson/,https://io.google/2022/speakers/7288dbee-d87c-4c2e-b946-596f629c5fbe_240.webp,Rebecca Nathenson,she / her
https://io.google/2022/speakers/reid-baker/,https://io.google/2022/speakers/8d894a21-e9cc-40ad-b59c-06a038945617_240.webp,Reid Baker,
https://io.google/2022/speakers/rekha-kumar/,https://io.google/2022/speakers/8cec0462-7691-440e-83fc-b941c290850d_240.webp,Rekha Kumar,she / her
https://io.google/2022/speakers/robert-crowe/,https://io.google/2022/speakers/fb405cde-4175-487b-ba30-e51fe38e7c6b_240.webp,Robert Crowe,he / him
https://io.google/2022/speakers/rod-lopez/,https://io.google/2022/speakers/710ecfc6-4e68-482b-b163-da777ff7c4cc_240.webp,Rod Lopez,
